Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA300220C0010",,"P00006","0","DCA Definitive Contract","$0.00","Sep 7, 2021","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00007","0","DCA Definitive Contract","$427,169.03","Nov 16, 2021","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00002","0","DCA Definitive Contract","$0.00","Aug 11, 2020","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00003","0","DCA Definitive Contract","$601,256.00","Dec 7, 2020","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA864921P1580",,"P00001","0","PO Purchase Order","$0.00","Nov 1, 2021","Feb 23, 2021","5700","DEPT OF THE AIR FORCE","FA8649  USAF SBIR STTR CONTRACTING","S","AC32","NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"N6833521C0279",,"P00002","0","DCA Definitive Contract","$0.00","Nov 2, 2021","Aug 2, 2020","1700","DEPT OF THE NAVY","NAVAIR WARFARE CTR AIRCRAFT DIV","S","AC12","NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300219PA182",,"0","0","PO Purchase Order","$0.00","Jul 12, 2019","Nov 28, 2018","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770063906","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"0","0","DCA Definitive Contract","$521,282.41","Jun 4, 2020","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00001","0","DCA Definitive Contract","-$2,113.60","Jun 30, 2020","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00008","0","DCA Definitive Contract","$357,088.00","Mar 1, 2022","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300219PA182",,"P00001","0","PO Purchase Order","$0.00","Sep 27, 2019","Nov 28, 2018","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770063906","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00004","0","DCA Definitive Contract","$0.00","Jun 9, 2021","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300223F0041","FA300221G0085","0","0","DO Delivery Order","$237,834.90","Jan 25, 2023",,"5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","P","7A21","IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE)","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","XX73XDPTQNN5","HTX LABS LLC","HTX LABS, LLC","80GR7",
"FA300219PA137",,"0","0","PO Purchase Order","$49,996.00","Mar 1, 2019",,"5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AE22","R&D- ECONOMIC GROWTH: PRODUCT/SERVICE IMPROVEMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770063906","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300220C0010",,"P00005","0","DCA Definitive Contract","$1,241,507.09","Jun 14, 2021","May 11, 2020","5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300221G0058",,"0",0,"BOA Basic Ordering Agreement","$0.00","Jul 3, 2021",,"5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","AJ12","GENERAL SCIENCE AND TECHNOLOGY R&D SERVICES; GENERAL SCIENCE AND TECHNOLOGY; APPLIED RESEARCH","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","HOUSTON","TX","770981404","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
"FA300221G0085",,"P00001",0,"BOA Basic Ordering Agreement","$0.00","Jan 26, 2022",,"5700","DEPT OF THE AIR FORCE","FA3002  338 ESS CC","S","DA10","IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE","511210","SOFTWARE PUBLISHERS","HOUSTON","TX","770024410","NONE","NONE OF THE ABOVE","LKSQDN67ZLL6","LKSQDN67ZLL6","HTX LABS  LLC","HTX LABS, LLC","80GR7",
