Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code,
"FA85011990001",,"0","0","Other Transaction Award Other Transaction Agreement","$403,591.41","Sep 20, 2019","Sep 13, 2019","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER",,,"ORLANDO","FL","328263714",,,"CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA85011990001",,"P00002","0","Other Transaction Award Other Transaction Agreement","$0.00","Dec 11, 2019","Sep 13, 2019","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER",,,"ORLANDO","FL","328263714",,,"CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA302023F0026","FA850120D0002","0","0","DO Delivery Order","$435,186.79","May 18, 2023","Nov 9, 2022","5700","DEPT OF THE AIR FORCE","FA3020  82 CONS LGC","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120F0125","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Oct 20, 2020",,"5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0106","FA850120D0002","0","0","DO Delivery Order","$218,572.09","Jul 9, 2021","Jun 23, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0111","FA850120D0002","0","0","DO Delivery Order","$117,006.37","Jul 27, 2021","Jun 23, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0187","FA850120D0002","0","0","DO Delivery Order","$4,168,237.00","Sep 15, 2021","Aug 10, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0195","FA850120D0002","0","0","DO Delivery Order","$1,192,741.93","Sep 20, 2021","Sep 8, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0202","FA850120D0002","0","0","DO Delivery Order","$863,584.60","Sep 22, 2021","Aug 25, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA441722F0249","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Aug 25, 2022",,"5700","DEPT OF THE AIR FORCE","FA4417 1 SOCONS","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA441722F0249","FA850120D0002","P00002","0","DO Delivery Order","$0.00","Aug 26, 2022",,"5700","DEPT OF THE AIR FORCE","FA4417 1 SOCONS","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA441722F0291","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Sep 15, 2022","Sep 7, 2022","5700","DEPT OF THE AIR FORCE","FA4417 1 SOCONS","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA483022F0104","FA850120D0002","0","0","DO Delivery Order","$48,377.00","Sep 21, 2022","Sep 13, 2022","5700","DEPT OF THE AIR FORCE","FA4830  23 CONS CC","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0203","FA850120D0002","0","0","DO Delivery Order","$201,930.00","Sep 23, 2021","Aug 30, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853021F0009","FA850120D0002","0","0","DO Delivery Order","$16,369.50","Sep 13, 2021","Sep 1, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0004","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Aug 25, 2022","Sep 7, 2021","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0011","FA850120D0002","0","0","DO Delivery Order","$510,988.49","Sep 6, 2022","Aug 3, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA853022F0011","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Oct 21, 2022","Aug 3, 2022","5700","DEPT OF THE AIR FORCE","FA8530  AFSC PZIE","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA480022F0198","FA850120D0002","P00002","0","DO Delivery Order","$0.00","Sep 26, 2022","Aug 30, 2022","5700","DEPT OF THE AIR FORCE","FA4800  633 CONS PKP","P","7B20","IT AND TELECOM - HIGH PERFORMANCE COMPUTE (HARDWARE AND PERPETUAL LICENSE SOFTWARE)","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850120D0002",,"P00002",0,"IDC Indefinite Delivery Contract","$0.00","Jul 16, 2021","Jul 7, 2020","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0075","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Aug 2, 2021","May 21, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
"FA850121F0111","FA850120D0002","P00001","0","DO Delivery Order","$0.00","Jul 30, 2021","Jun 23, 2021","5700","DEPT OF THE AIR FORCE","FA8501  OPL CONTRACTING AFSC/PZIO","S","U099","EDUCATION/TRAINING- OTHER","611430","PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING","ORLANDO","FL","328263714","NONE","NONE OF THE ABOVE","CH34JZ4179Q3","GCFUCHL158N5","CRYTEK GMBH","MASS VIRTUAL, INC.","6CZ17",
